epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2662,0,243.804,0,0,0,0,0,0,141.053,0,5.001e-05,5.001e-05,5.001e-05
2,97.1231,0,134.779,0,0,0,0,0,0,203.734,0,0.000114765,0.000114765,0.000114765
3,142.385,0,90.2514,0,0,0,0,0,0,512.377,0,0.000177319,0.000177319,0.000177319
4,184.67,0,66.0803,0,0,0,0,0,0,166.928,0,0.000237673,0.000237673,0.000237673
5,229.257,0,45.9886,0,0,0,0,0,0,142.704,0,0.000295826,0.000295826,0.000295826
6,273.555,0,35.0573,0,0,0,0,0,0,134.245,0,0.000351779,0.000351779,0.000351779
7,320.876,0,26.9407,0,0,0,0,0,0,396.013,0,0.000405531,0.000405531,0.000405531
8,365.01,0,19.8486,0,0,0,0,0,0,3872.91,0,0.000457083,0.000457083,0.000457083
9,401.731,0,14.1687,0,0,0,0,0,0,10355.6,0,0.000506435,0.000506435,0.000506435
10,441.159,0,9.86145,0,0,0,0,0,0,269.604,0,0.000553586,0.000553586,0.000553586
11,478.872,0,7.61365,0,0,0,0,0,0,40.0344,0,0.000598536,0.000598536,0.000598536
12,521.911,0,6.86276,0,0,0,0,0,0,1945.31,0,0.000641287,0.000641287,0.000641287
13,557.281,0,4.88122,0,0,0,0,0,0,389.983,0,0.000681836,0.000681836,0.000681836
14,590.335,0,3.89854,0,0,0,0,0,0,5.98626,0,0.000720186,0.000720186,0.000720186
15,633.174,0,3.80674,0,0,0,0,0,0,5.30679,0,0.000756335,0.000756335,0.000756335
16,667.938,0,3.34423,0,0,0,0,0,0,4.26448,0,0.000790283,0.000790283,0.000790283
17,701.736,0,2.6355,0,0,0,0,0,0,1.60729,0,0.000822031,0.000822031,0.000822031
18,736.948,0,2.10958,0,0,0,0,0,0,1.21717,0,0.000851579,0.000851579,0.000851579
19,779.37,0,1.74407,0,0,0,0,0,0,0.9024,0,0.000878926,0.000878926,0.000878926
20,817.247,0,1.31196,0,0,0,0,0,0,0.57086,0,0.000904072,0.000904072,0.000904072
21,850.366,0,1.30665,0,0,0,0,0,0,13756.1,0,0.000927019,0.000927019,0.000927019
22,888.066,0,0.95414,0,0,0,0,0,0,443.487,0,0.000947765,0.000947765,0.000947765
23,926.881,0,0.77362,0,0,0,0,0,0,0.36112,0,0.00096631,0.00096631,0.00096631
24,958.729,0,0.62916,0,0,0,0,0,0,0.30099,0,0.000982655,0.000982655,0.000982655
25,993.267,0,0.52317,0,0,0,0,0,0,0.24424,0,0.000996799,0.000996799,0.000996799
26,1045.03,0,0.43442,0,0,0,0,0,0,0.19656,0,0.000979362,0.000979362,0.000979362
27,1084.68,0,0.35576,0,0,0,0,0,0,0.15164,0,0.000951857,0.000951857,0.000951857
28,1118.79,0,0.28973,0,0,0,0,0,0,2.67113,0,0.000924352,0.000924352,0.000924352
29,1158.5,0,0.23901,0,0,0,0,0,0,0.11561,0,0.000896846,0.000896846,0.000896846
30,1202.36,0,0.18304,0,0,0,0,0,0,269.105,0,0.00086934,0.00086934,0.00086934
31,1235.88,0,0.15728,0,0,0,0,0,0,999.976,0,0.000841835,0.000841835,0.000841835
32,1269.36,0,0.57924,0,0,0,0,0,0,51.3388,0,0.000814329,0.000814329,0.000814329
33,1310.53,0,0.12346,0,0,0,0,0,0,119.059,0,0.000786824,0.000786824,0.000786824
34,1347.62,0,0.11108,0,0,0,0,0,0,123.889,0,0.000759318,0.000759318,0.000759318
35,1381.46,0,0.08877,0,0,0,0,0,0,12.7991,0,0.000731813,0.000731813,0.000731813
36,1421.69,0,0.20898,0,0,0,0,0,0,0.05616,0,0.000704307,0.000704307,0.000704307
37,1469.72,0,0.08484,0,0,0,0,0,0,0.05425,0,0.000676802,0.000676802,0.000676802
38,1508.64,0,0.07245,0,0,0,0,0,0,0.04877,0,0.000649297,0.000649297,0.000649297
39,1552.16,0,0.06376,0,0,0,0,0,0,0.04961,0,0.000621791,0.000621791,0.000621791
40,1596.82,0,0.05422,0,0,0,0,0,0,0.05028,0,0.000594286,0.000594286,0.000594286
41,1631.19,0,0.04729,0,0,0,0,0,0,0.04447,0,0.00056678,0.00056678,0.00056678
42,1670.49,0,0.03932,0,0,0,0,0,0,0.03458,0,0.000539275,0.000539275,0.000539275
43,1712.13,0,0.0352,0,0,0,0,0,0,0.03129,0,0.000511769,0.000511769,0.000511769
44,1750.39,0,0.03133,0,0,0,0,0,0,0.02562,0,0.000484263,0.000484263,0.000484263
45,1788.61,0,0.02837,0,0,0,0,0,0,0.02214,0,0.000456758,0.000456758,0.000456758
46,1833.88,0,0.02299,0,0,0,0,0,0,0.0177,0,0.000429253,0.000429253,0.000429253
47,1879.11,0,0.02126,0,0,0,0,0,0,0.01627,0,0.000401747,0.000401747,0.000401747
48,1917.58,0,0.01883,0,0,0,0,0,0,0.01339,0,0.000374242,0.000374242,0.000374242
49,1961.25,0,0.01623,0,0,0,0,0,0,0.01142,0,0.000346736,0.000346736,0.000346736
50,2008.09,0,0.01477,0,0,0,0,0,0,0.01026,0,0.000319231,0.000319231,0.000319231
51,2049.59,0,0.01335,0,0,0,0,0,0,0.00998,0,0.000291725,0.000291725,0.000291725
52,2095.26,0,0.0117,0,0,0,0,0,0,0.00962,0,0.00026422,0.00026422,0.00026422
53,2142.73,0,0.01089,0,0,0,0,0,0,0.00961,0,0.000236714,0.000236714,0.000236714
54,2181.33,0,0.01008,0,0,0,0,0,0,0.00938,0,0.000209209,0.000209209,0.000209209
55,2221.88,0,0.00973,0,0,0,0,0,0,0.00914,0,0.000181703,0.000181703,0.000181703
56,2261.16,0,0.00937,0,0,0,0,0,0,0.00853,0,0.000154198,0.000154198,0.000154198
57,2294.7,0,0.009,0,0,0,0,0,0,0.00791,0,0.000126692,0.000126692,0.000126692
58,2327.72,0,0.00834,0,0,0,0,0,0,0.00751,0,9.91865e-05,9.91865e-05,9.91865e-05
59,2368.13,0,0.00875,0,0,0,0,0,0,0.00723,0,7.1681e-05,7.1681e-05,7.1681e-05
60,2405.13,0,0.00901,0,0,0,0,0,0,0.0072,0,4.41755e-05,4.41755e-05,4.41755e-05
